Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Сабетта;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Саккырыр;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Салехард;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Курумоч);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Смышляевка);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сангар;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Санкт-Петербург(Пулково);2015;1204;1508;1767;1980;1861;1863;1992;1939;2021;2028;2121;2251;22535
Саранск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Саратов(Центральный);2015;29,5;32,4;35,8;44,1;32,6;42,6;49,4;45,2;44,1;44,3;32,4;39,7;472,1
Саскылах;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Светлогорск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Енисейский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Эвенск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сеймчан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Симферополь;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Снопа;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Соболево;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Советская Гавань;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Советский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Соловки;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сочи;2015;94,84;218,64;137,94;144,55;125,73;131,07;169,58;173,88;610,02;1007,1;154,34;166,85;3134,54
Среднеколымск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ставрополь(Шпаковское);2015;49;58;66;70;51;55;59;54;57;61;54;74;708
Старый Оскол;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Стрежевой;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сунтар;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сургут;2015;237,6;271,3;331,2;335,5;319,8;291,1;311,1;305,6;312,1;328,1;277,2;349,5;3670,1
Сыктывкар;2015;40,99;46,19;53,26;62,99;46,51;60,47;53,28;51,66;56,1;62,32;57,83;75,29;666,89
Таганрог(Южный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тазовский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Таксимо;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Талакан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тамбов;2015;0;0;0;0;0;0;0;0;0;0;0;0;0
Тара;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тарко-Сале;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Таштагол;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тигиль;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тикси;2015;12,7;6,8;25,3;24;23;35,8;32,5;6,9;17,7;28,2;44,9;22,6;280,4
Тиличики;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тобольск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Толька;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Томск(Богашево);2015;86,98;125,52;135,37;141,06;129,25;130,7;136,21;141,07;140,82;151,35;152,55;176,9;1647,78
Троицко-Печорск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тугур;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тура(Горный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Туруханск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тында;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Плеханово);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Рощино);2015;246,9;258,4;289,7;327,4;271,9;257,9;299,3;326,1;303,4;321,6;325,1;388,1;3615,8
Удское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Улан-Удэ(Мухино);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Баратаевка);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Восточный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Урай;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ургалан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Уренгой;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усинск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Камчатск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кара;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Куйга;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кут;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Мая;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Нера;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Хайрюзово;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Цильма;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Уфа;2015;187,27;214,71;253,87;312,44;92,22;301,33;245,24;261,92;274,56;261,53;244,41;305,93;2955,43
Ухта;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хабаровск(МВЛ);2015;0,1;0,1;0,14;0,84;5,08;3,68;11,03;6,96;1,45;18,73;1,83;0,04;49,98
Хабаровск(Новый);2015;1254,63;1806,06;1867,15;2167,5;1760,04;1679,66;1920,87;1827,14;1865,22;2148,69;1988,37;2335,9;22621,23
Хандыга;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ханты-Мансийск;2015;37,41;42,59;95,64;54,28;58,35;51,42;56,93;54,69;61,91;58,59;58,26;65,9;695,97
Харута;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хатанга;2015;102,83;141,79;134,75;225,49;132,33;143,39;142,84;137,32;124,92;179,3;109,21;325,06;1899,23
Херпучи;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хонуу(Мома);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хорей-Вер;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чара;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чебоксары;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чегдомын;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Челябинск(Баландино);2015;205,54;167,32;195,91;196,22;170,18;175,64;201,86;196,02;208;261;219;307,3;2503,99
Череповец;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Черский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чижа;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чита(Кадала);2015;113,53;148,86;152,1;252,2;280,42;260,59;210,65;269,04;237,05;247,03;239,43;250,4;2661,3
Чокурдах;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чумикан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шарыпово;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шахтерск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шойна;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шушенское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Эгвекинот(Залив Креста);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Экимчан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Элиста;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Эссо;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Курильск(Менделеево);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Сахалинск(Хомутово);2015;560,52;703,99;762,84;713,2;1036,61;970,73;966,93;997,62;1064,46;929,59;840,44;1136,09;10683,02
Якутск;2015;522,38;625,15;696,34;768,29;733,18;940,69;994,82;946,61;1066,95;1196,05;1157,03;1473,86;11121,35
Якутск(Маган);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ямбург;2015;0,69;0,7;0,46;0,22;0,69;1,35;0,61;1,16;2,18;0,55;0,45;3,73;12,79
Ярославль(Туношна);2015;335,48;523,88;559,25;690,41;758,25;619,32;715,14;504,9;744,74;541,48;656,74;691,78;7341,37
Ярцево;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Абакан;2014;51,9;69,42;83,36;69,71;75,5;92,16;67,5;89,22;76,95;78,56;153,68;83,38;991,34
Айхал;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Алдан;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Амдерма;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Анадырь;2014;128;286;276;441;178;117;114,67;358,99;108,69;479,34;0;297,17;2784,86
Анапа(Витязево);2014;30,68;37,24;39,2;42,43;42,93;65,62;72,89;82,3;73,05;71,29;50,22;61,07;668,92
Антипаюта;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Апатиты(Хибины);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Васьково);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Талаги);2014;177,8;152,6;182,2;206,4;274,4;150,6;158,8;152;167,5;205,1;281,8;438,7;2547,9
Астрахань(Нариманово);2014;62,69;66,4;76,48;79,3;73,91;91,42;82,25;109,11;93,43;93,72;83,05;111,61;1023,37
Ачинск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Аян;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Багдарин;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Байкит;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Барнаул(Имени Г.С.Титова);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Батагай;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Белая Гора;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Белгород;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Белоярский;2014;10,3;10,1;9,4;21;33,5;21,5;17,7;23,1;10,7;18,1;47,2;45,3;267,9
Белушье;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Березово;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Бийск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Благовещенск;2014;161,6;182,3;212,2;213,83;226;198,5;225,2;260,73;233,7;269,8;402,7;289,7;2876,26
Бованенково;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Богородское;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Богучаны;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Бодайбо;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Братск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Брянск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Бугульма;2014;2,32;2,69;1,19;2,45;2;1,89;2,66;3,58;3,3;3,23;2,47;2,03;29,81
Буревестник;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ванавара;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Варандей;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Верхневилюйск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Вижас;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Вилюйск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Витим;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Владивосток(Кневичи);2014;1726,6;1644,2;2803,5;2411,9;2083,1;2109,3;2134,4;2720,2;2958,5;3483,2;2945,4;1909,7;28930
Владикавказ(Беслан);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Владимир;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Волгоград(Гумрак);2014;57;78;78;73;70;65;80;87;77;82;73;100;920
Вологда;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Волоковая;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Воркута;2014;56,31;34,26;39,56;46,39;51,94;51,23;46,21;49,6;59,93;60,63;51,35;45,73;593,14
Воронеж(Чертовицкое);2014;8,84;5,99;7,02;5,79;5,41;6,85;10,1;2,45;12,05;9,73;9,36;5,04;88,63
Вуктыл;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Геленджик;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Горно-Алтайск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Грозный(Северный);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Гыда;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Дальнереченск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Депутатский;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Диксон;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Дудинка;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ейск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Екатеринбург(Кольцово);2014;1465,47;1992,37;1887,75;1602,31;1804,02;1597,93;1731,76;2445,1;1858,24;1977,47;1787,83;2040,7;22190,95
Екатеринбург(Уктус);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Елизово(Авачинский);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Енисейск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ербогачен;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Жиганск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Жуковский;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Залив Лаврентия(Лаврентия);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Зея;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Зональное;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Зырянка;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Иваново(Южный);2014;25,3;65,26;52,81;148,6;35,54;31,4;154,4;0,01;24,21;11,6;12,31;137,86;699,3
Игарка;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Игрим;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижевск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижма;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Индига;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Инта;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Йошкар-Ола;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Иркутск;2014;613,1;700,09;893,59;874,88;732,41;752,43;819,33;761,71;604,58;892,99;826,96;1090,99;9563,06
Кавалерово;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Казань;2014;268,83;302;228,94;290,88;217,24;286,57;233,6;333,47;318,78;299,95;273,74;372,1;3426,1
Казачинское(Казачинск);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Калининград(Храброво);2014;261,61;327,16;357,46;387,07;330,77;335,61;379,29;397,32;402,51;463,38;412,63;528,01;4582,82
Калуга;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Каратайка;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Каргасок;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Кедровый;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Кемерово;2014;224,75;307,82;314,66;514,29;484,82;316,93;393,14;336,66;422,5;596,92;613,36;651,79;5177,64
Кепервеем;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Киренск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Киров;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Когалым;2014;0,9;1,3;1,5;1,7;24,18;27,8;15,4;39,7;52,15;31,9;22,3;64,15;282,98
Кодинск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Колпашево;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
