Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Нижнеудинск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижний Новгород(Стригино);2015;42,86;53,44;82,9;85,96;82,22;113,88;92,74;99,77;72,36;96,68;104,51;154,65;1081,97
Нижняя Пеша;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Николаевск-на-Амуре;2015;7,19;4,41;4,74;6,93;5,66;5,06;6,18;4,88;8,38;4,8;6,34;7,29;71,86
Никольское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Новокузнецк;2015;64;75;79;82;85;75;79;79;83;89;84;92;966
Новосибирск(Северный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Новосибирск(Толмачево);2015;1395,7;1567,1;1738;1720,7;1588,1;1679,4;1723,8;1653,8;1622,8;1580,3;1599,3;1801,1;19670,1
Новый Уренгой;2015;151,7;206,9;326,5;358;442,2;384,7;420,3;281,6;299,2;323;288,6;321;3803,7
Ноглики;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Норильск;2015;654,73;1278,21;1137,99;1288,14;1417,22;1167,71;1312,05;996,78;1085,21;1315,17;1351,13;1480,71;14485,05
Норильск(Валек);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ноябрьск;2015;38,11;43,82;50,93;50,32;56,25;47,35;47,88;43,72;47,46;53,62;48,52;59,24;587,22
Нюрба;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нягань;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Озерная;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Олекминск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оленек;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ома;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Омолон;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Омск(Центральный);2015;158;208;222;255;233;226;254;270;254;260;237;279;2856
Омсукчан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Орел(Южный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оренбург(Центральный);2015;68,9;76,79;81,56;81,06;75,09;78,51;89,53;90,73;91,61;97,36;79,95;104,64;1015,73
Орск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оссора;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оха;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Охотск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Палана;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
